LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,AS6 .F53 2000,,,2,How to run a successful conference / John G. Fisher. 
City Campus Library,B105.T54 .C34 2000,,,38,Thinking critically / John Chaffee. 
,B105.T54 .C34 2009,,,1,Thinking critically / John Chaffee. 
,BC175 .P66 2007,,,3,How to win every argument : the use and abuse of logic / Madsen Pirie. 
,BD21 .P54 2005,,,1,Philosophy : the quest for truth / [edited] by Louis P. Pojman. 
,BD431 .R63 1973,,,1,Nature of human values. 
,BF 131 NEL 1982,,,1,Theory and Practice of Counselling Psychology 
,BF 39 BER 1986 HEC,,,1,"Questionnaires : design and use / by Doug R. Berdie, John F. Anderson, Marsha A. Niebuhr. "
,BF 636 HER,,,3,Psychology for social workers / [edited by] Martin Herbert. 
,BF105 .G63 2012,,,9,History of modern psychology / C. James Goodwin. 
,BF1078 .F89 1994,,,5,Interpretation of dreams / by Sigmund Freud ; translated by A.A. Brill. 
,BF121,,,2,Essentials of understanding psychology / Robert S. Feldman. 
,BF121 .C19 1997,,,7,"Psychology : the science of behavior / Neil R. Carlson, William Buskist. "
,BF121 .C19 2007,,,31,Psychology : the science of behavior / Neil R. Carlson ... [et al.]. 
,BF121 .F33 2003,,,14,Essentials of understanding psychology / Robert S. Feldman. 
,BF121 .H32 1998,,,8,Psychology : an introduction/ Nicky Hayes and Sue Orrell 
,BF121 .H54 2000,,,14,Hilgard's introduction to psychology / Rita L. Atkinson ... [et al.]. 
,BF121 .In8 2003,,,9,Atkinson & Hilgard's introduction to psychology / Edward E. Smith ... [et al.]. 
,BF121 .K12 1999,,,2,A-B-C's of human experience : an integrative model / Wallace J. Kahn. 
,BF121 .K84 2004,,,15,"Psychology : the brain, the person, the world / Stephen M. Kosslyn. "
,BF121 .K84 2006,,,40,"Psychology in context / Stephen M. Kosslyn, Robin Rosenberg. "
